103 LUZELLE DR,36.0458923,-80.3011572
103 RIDGECREST PLACE CT,36.0277796,-80.3703088
103 S SUNSET DR,36.0924843,-80.2629498
103 WILLIAMSBURG CT # B,36.0667821,-80.276824
1030 FILE ST,36.1066952,-80.2280736
1030 TREADWAY CT,36.0886459,-80.1947172
1031 MANORWOOD DR,36.1350729,-80.0835022
1031 SALISBURY ST # F,36.1057236,-80.0777146
1032 GREENHURST RD,36.110889,-80.335936
1033 CROSS GATE RD,36.111523,-80.33542
1034 BRANNIGAN VILLAGE DR,36.01531,-80.265186
1035 DUGGINS ST # 2,36.1055282,-80.0764868
1036 GLENMONT RD,36.0909493,-80.1944589
1038 BRANNIGAN VILLAGE DR,36.01531,-80.265186
1038 HUNTINGDON RD,36.106278,-80.3259456
1039 MILL DR,36.0462291,-80.257473
104 FIDDLERS KNOLL CT,36.0820462,-80.1117675
104 HAVENSTRAAT ST,36.0742269,-80.0849752
104 LAKEVIEW DR,36.1116625,-80.0426862
104 N POPLAR ST,36.0942142,-80.2496909
104 OAKMONT DR,36.1329734,-80.1162612
1041 MANLY ST,36.1083097,-80.2584638
1041 RHINE RD,36.256738,-80.246385
1042 SHALIMAR DR,36.0878113,-80.1956793
1045 MEGAN CROSS LN,36.0991569,-80.1058992
1045 MILLER ST,36.0790061,-80.2731729
1046 FELDSPAR LN,36.0864521,-80.3951235
1047 KEARNS AVE,36.1188357,-80.286929
1047 N PEACE HAVEN RD,36.1067481,-80.3265548
1048 CROSS GATE RD,36.1119689,-80.3364766
1048 KINGS MEADOW DR,36.0365495,-80.2566637
1048 STAMFORD CLUB DR,36.2591532,-80.3338657
105 CROWNE CHASE DR # 4,36.0834039,-80.3336962
105 HOGAN LN,36.0078536,-80.2848251
105 LAKE DALE CT,36.0247338,-80.3871895
105 OLD WOOD LN,36.1126913,-80.1464455
105 SILVER CREEK TRL,36.0861198,-80.1080262
105 STILLMERE CT,36.1239671,-80.180292
105 STONEMOOR DR,36.079707,-80.3608129
105 TODD CT,36.1399123,-80.066818
105 WESTGATE CIR # B,36.1198046,-80.3162522
1050 LAPLATA DR,36.1470264,-80.070365
1050 TEAGUE RD,36.0396521,-80.1989879
1052 WYNDFALL DR,36.0968574,-80.1045083
1053 GREENLY DR,36.1237069,-80.3893459
1054 SEQUOIA DR,36.0930032,-80.4042437
1055 FOOTHILLS DR,36.0954899,-80.118966
1056 BETTY DR,36.0529478,-80.2118156
1056 BETTY DR,36.0529478,-80.2118156
1058 LEWISVILLE VIENNA RD,36.1168724,-80.4039393
106 CROYDEN DR,36.1254836,-80.1160321
106 EAGLEWOOD DR,36.1014,-80.4271863
106 HEDRICK DR,36.1423646,-80.068261
106 HORNEYTOWN RD,36.0173569,-80.061038
106 NATHAN AVE,36.0484365,-80.1992336
106 OLD CABIN LN,36.0961131,-80.0853207
106 SAINT CHARLES CT,36.1305468,-80.0876666
1060 BROOKHILL PARK DR,36.213124,-80.2688639
1060 N CLEVELAND AVE # L,36.1076564,-80.2312164
1060 WENDOVER CIR,36.1138326,-80.2699613
1063 STAMFORD CLUB DR,36.2586508,-80.3354322
1064 HUTTON ST,36.075597,-80.2560248
1065 DEEPWOOD CT,36.1138546,-80.2707451
1065 WENDOVER CIR,36.1137586,-80.2695693
1066 HICKORY GLEN RD,36.149385,-80.289824
107 AZALEA TERRACE CT # 107,36.1119134,-80.2470838
107 BRIAR RIDGE CIR,36.0801084,-80.3575781
107 CAPISTRANO DR,36.0611235,-80.3346524
107 CLIFTON ST,36.123429,-80.0784074
107 ECHO GLEN DR # D4,36.1473732,-80.3007211
107 WILLOW TRACE CIR # 4,36.0500688,-80.3865172
107 WINDRUSH RD,36.1430442,-80.3247815
1070 CRESTHAVEN RD,36.077468,-80.464583
1070 REYNOLDS MANOR DR,36.088886,-80.199288
1071 LASLEY RD,36.081323,-80.4121
1072 BETTY DR,36.0542583,-80.2117611
1072 KINGS MEADOW DR,36.0365363,-80.2573205
1075 BROOKHILL PARK DR,36.212814,-80.269908
1075 STAMFORD CLUB DR,36.257976,-80.3359109
1079 REYNOLDS RD # 3,36.078647,-80.404263
108 CARMEL CT,36.1390726,-80.06242
108 CECIL DR,36.1701597,-80.2290271
108 OLD CABIN LN,36.0958947,-80.0850512
108 WILLOW TRACE CIR # 3,36.0500688,-80.3865172
108 WORTHDALE DR,36.0595744,-80.3357232
1081 CANYON DR,36.220491,-80.294352
1081 DAYLILLY CT,36.0911698,-80.1004778
1082 DAYLILLY CT,36.091306,-80.101021
1085 PINE KNOLLS RD,36.1859667,-80.0671566
1089 EDENWOOD DR,36.0590343,-80.3403193
109 CAMBRIDGE SQUARE LN,36.1326177,-80.0725268
109 CEDAR TRAILS CT,36.0987579,-80.343964
109 DUXBURY CT,36.0069647,-80.3887867
109 ECHO GLEN DR # A2,36.1473773,-80.3005939
109 HENDRIX DR,36.1047724,-80.0811237
109 KRAMER AVE,36.1224702,-80.3277182
109 OLD CABIN LN,36.0961892,-80.0843204
109 TODD CT,36.1397798,-80.0669926
1097 DAYLILLY CT,36.0903817,-80.1006087
110 CARDWELL MANOR CT,36.1900561,-80.1456277
110 COOL SPRINGS RD,36.0822142,-80.1690876
110 CREEKSTONE CT,36.1104717,-80.3351276
110 HOMESTEAD HILLS CIR,36.0559374,-80.3063539
110 LISMORE CT,36.0425159,-80.4081132
110 OLD PLANTATION CT,36.0770493,-80.3622871
110 S AVALON RD,36.0983005,-80.2836881
110 STONBURG CIR,36.0045322,-80.3735856
110 STONBURG CIR,36.0045322,-80.3735856
110 TROONSWAY RD,36.0490123,-80.2917325
110 WESTDALE AVE,36.0933697,-80.2584949
1100 FOXFIRE RD,36.1875922,-80.0626989
1100 HUNTINGDON RD,36.10708,-80.3248456
1100 MAYVIEW CT,36.0855492,-80.105332
1100 SALEM VALLEY RD # B12,36.0748579,-80.2558253
1100 YORKSHIRE RD,36.107002,-80.311975
1101 CHARLES ST,36.0559169,-80.2137277
1101 PINESIDE DR,36.0439909,-80.3948932
1101 POLO RD,36.1394306,-80.2791494
1102 WETHERBURN CT,36.1093557,-80.3373142
1104 FAWNBROOK RD,36.087577,-80.391199
1105 HUBERT CT,36.0865713,-80.2000643
1105 LOWVALLEY CT,36.212327,-80.272071
1105 SILAS RIDGE CT,36.1202017,-80.2968665
1106 CRESTWOOD DR,36.08341,-80.254382
1106 W THIRTEENTH ST,36.1103803,-80.2558866
1107 STANDISH CT,36.1238417,-80.2656206
1109 E FIFTEENTH ST,36.1141405,-80.2322801
1109 EDWARDS RD,36.2592569,-80.2814555
1109 STAFFORD PLACE CIR # 301,36.0290051,-80.2699964
111 DALEWOOD DR # 2,36.079079,-80.3312562
111 HUNTERS HORN LN,36.0273092,-80.2017663
111 HUNTERS HORN LN,36.0273092,-80.2017663
111 MILNOR PL,36.0965526,-80.307709
111 N JACKSON AVE,36.0968625,-80.225487
111 S SUNSET DR,36.092236,-80.262806
111 WILLIAMSBURG CT # B,36.0660147,-80.2764957
111 WILLIAMSBURG CT # B,36.0660147,-80.2764957
1110 DAYLILLY CT,36.0897597,-80.1012196
1110 NORWOOD LN,36.093828,-80.410278
1110 REYNOLDS PRICE DR,36.0869754,-80.0930159
1111 BARBARA ANNE CIR # 6,36.0482283,-80.3480572
1111 SALEM VALLEY RD,36.0745332,-80.2550128
1112 DUNLAP SPRINGS CT,36.0845421,-80.1077645
1112 MELROSE ST,36.0772505,-80.2756332
1112 SALEM VALLEY RD # H10,36.0748387,-80.2557033
1113 E TWENTY FOURTH ST,36.12123,-80.2316758
1114 CHERYL DR,36.094479,-80.0867514
1115 KENSFORD DR,36.085108,-80.401708
1116 JENNINGS PARK TRL,36.102859,-80.074146
1117 W ACADEMY ST,36.0846829,-80.2555021
1119 STAFFORD PLACE CIR # 202,36.0290051,-80.2699964
112 BALLYHOO DR,36.1109424,-80.3950692
112 BRESLAU CIR,36.1586596,-80.2887938
112 CAMERON WAY CIR,36.0711907,-80.359926
112 CEDARWOOD TRL,36.0164416,-80.0583164
112 CENTURY WOOD CT,36.1051123,-80.0794095
112 DELRAY AVE,36.0196026,-80.0575856
112 WATER MILL RD,36.1081321,-80.1270472
112 WHITFORD PLACE CT # 112,36.0390778,-80.2028767
1120 BARBARA ANNE CIR # 5,36.0485534,-80.3481189
1120 CYPRESS CIR,36.1452273,-80.2804699
1120 E SEVENTEENTH ST,36.1148823,-80.2312347
1120 GLOUSMAN RD,36.1108206,-80.3389133
1120 GRINNELL CT,36.093484,-80.3999336
1120 LOWVALLEY CT,36.213287,-80.272166
1120 MELROSE ST,36.0768815,-80.2755912
1120 RIDGECLIFF DR,36.214719,-80.2656329
1120 TOMMYS LAKE RD,36.19312,-80.304257
1120 WAUGHTOWN ST,36.0689264,-80.2172082
1121 BARCLAY TER,36.1447455,-80.2798897
1121 HUTTON ST # 3,36.0734685,-80.2557199
1121 SEQUOIA DR,36.092584,-80.40724
1123 FRANKLIN ST,36.0866421,-80.2556249
1124 IRVING ST,36.0765379,-80.2724108
1124 JONES BROTHERS RD,36.1332315,-80.1260875
1124 MANORWOOD DR,36.1366995,-80.0863827
1124 STAMFORD CLUB DR,36.257402,-80.339887
1124 W FOURTH ST # C,36.0941261,-80.2604696
1125 KENSFORD DR,36.085108,-80.401931
1126 E TWENTY FIFTH ST,36.1217086,-80.2310025
1128 PINE KNOLLS RD,36.1855641,-80.0682659
1129 ACADEMIC DR,36.148718,-80.279901
1129 CENTURY PARK AVE,36.1033132,-80.0831967
1129 CONLEY ST # D,36.1496921,-80.2281692
113 ASBURY DR,36.1322162,-80.0949486
113 CLOISTER OAKS CIR # 113,36.063241,-80.248811
113 FIVE ROYALES DR,36.1148184,-80.2460283
113 GRANADA CT,36.1614592,-80.2648334
113 MILL POND DR # 113,36.1186252,-80.3565282
113 TILLEYS GROVE DR,36.1187037,-80.0848065
113 WEDGEFIELD AVE,36.1472637,-80.3071867
113 WILLOW TRACE CIR # 2,36.0500688,-80.3865172
1130 FOXFIRE RD,36.1886123,-80.0625871
1131 PARTRIDGE LN,36.1176322,-80.3016148
1131 STAFFORD PLACE CIR # 303,36.0290051,-80.2699964
1132 BETHABARA HILLS CT,36.1498499,-80.2934244
1132 FRANCIS ASBURY DR,36.1193086,-80.2619666
1134 MADISON AVE,36.0741338,-80.2673847
1137 MARTIN ST,36.0764887,-80.2763517
114 ALICE ST,36.1298385,-80.1985357
114 HUFF CIR,36.1579277,-80.1924212
114 MARIAN LN,36.104674,-80.3279474
114 NELSON ST,36.1251726,-80.0775338
114 RIVERTREE LN,36.055684,-80.293564
114 S CAMERON AVE,36.0952608,-80.2240037
114 STONEY BROOK BLVD,36.0501651,-80.3704544
1140 BETHANIA RURAL HALL RD,36.2069125,-80.3059243
1143 EDENWOOD DR,36.0567287,-80.3401828
1144 OLD HOLLOW RD,36.1910482,-80.2322702
1145 MAGNOLIA ST,36.0754126,-80.2844398
1145 POLO RD,36.1395069,-80.2816314
1147 BROWNS RUN DR,36.1428442,-80.0803624
1147 WAUGHTOWN ST,36.0691867,-80.2161515
1148 ACADEMIC DR,36.149104,-80.280309
115 ANGEL DR,36.1307199,-80.169916
115 ASBURY PLACE CT,36.0148818,-80.3984048
115 AUTUMN OAK CIR,36.0496448,-80.3718443
115 CREEKSTONE CT,36.1099214,-80.3350841
115 FERNWORTH CT,36.0099092,-80.3900065
115 FOREST VIEW DR,36.0872042,-80.324771
115 LUZELLE DR,36.046185,-80.3036717
115 NOTTIDGE CT,36.0080847,-80.3866367
115 ROYAL FOREST CT,36.074757,-80.324398
115 SPILLSBURY CT,36.0088546,-80.3903753
115 SPRING PARK CT,36.0639371,-80.3783832
115 TROONSWAY RD,36.048978,-80.292616
115 TUCKER AVE,36.0889693,-80.3158485
115 WILLMOR DR,36.0275991,-80.2456398
1150 E FIFTH ST # B,36.1003576,-80.2318969
1150 JONES BROTHERS RD,36.1328576,-80.1247461
1151 RED SAGE RD,36.0360473,-80.267958
1152 RIDGECLIFF DR,36.217369,-80.26499
1155 CONLEY ST,36.1496261,-80.2256286
1156 CENTURY PARK AVE,36.1036358,-80.085921
1156 OLD SALEM RD,36.083122,-80.0947178
1156 SALEM LAKE RD,36.0854999,-80.191484
116 BRENT VIEW CT,36.0605477,-80.2731967
116 OVERDALE RD,36.0280306,-80.2426722
116 ROYAL KINGS CT,36.0373301,-80.2558363
116 TUCKER AVE,36.0889536,-80.3163185
1163 TREMONT DR,36.2599348,-80.3357368
1165 FOXFIRE RD,36.1899713,-80.0621199
1166 CLYDE EDGERTON DR,36.0888183,-80.0903677
1167 FOLKSTONE RIDGE LN,36.037845,-80.2538905
1168 OLD SALEM RD,36.0819264,-80.0944996
1168 WOODED AVE,36.1553298,-80.2274041
11695 DOUBLE SPRING RD,36.076461,-80.498894
117 CHELTENHAM DR,36.0556435,-80.3410334
117 HIGH CREEK CT,36.1091708,-80.1087789
117 N JACKSON AVE,36.0972446,-80.2255306
1175 HUDGINS HILL CT,36.0542421,-80.3402244
1176 TREMONT DR,36.2590639,-80.3358674
1178 MARIETTA DR,36.1282035,-80.0923614
118 FERNWORTH CT,36.0093909,-80.3902741
1180 FOXHALL DR,36.1235918,-80.3133269
1181 EDENWOOD DR,36.0556465,-80.3402378
1182 JONESTOWN RD,36.0564384,-80.3444136
1183 HERITAGE PATH LN,36.0454421,-80.3488771
1184 ADDISON AVE,36.1088546,-80.2195503
1185 BIRCH HILL DR,36.0827205,-80.0987443
119 STATE ST,36.1153465,-80.2080822
1190 ARBOR RD,36.1188096,-80.2724653
1190 UNION CROSS RD,36.1008095,-80.0818227
1191 ADDISON AVE,36.1090753,-80.2190383
1199 HAYES FOREST DR # 401,36.145416,-80.2846115
120 BICKERSTAFF RD,36.0064487,-80.38657
120 BICKERSTAFF RD,36.0064487,-80.38657
120 CHARLESTON CT # B,36.0676993,-80.2752547
120 COPPERFIELD PLACE CT,36.1274881,-80.3348121
120 MAPLE HOLLOW LN,36.2529104,-80.2058824
120 MEADOWCREST CT,36.0100725,-80.3530102
120 NELSON ST,36.1253915,-80.077261
120 TIPPERARY LN,36.0826061,-80.3285458
120 WEATHERWOOD CT # S,36.063085,-80.272776
120 WINTERGREEN RD,36.0768355,-80.1741917
1200 MEADOWLARK DR,36.117526,-80.367103
1201 SHELIA CT,36.224918,-80.255305
1202 MILLER ST,36.075494,-80.2739567
1202 PEBBLE MEADOWS DR,36.077845,-80.44205
1204 GRAY AVE,36.1100375,-80.2235138
1204 STADLER RIDGE RD,36.1206246,-80.2975663
1205 MARTY DR,36.1979852,-80.304356
1205 SCOTTSWOOD CT,36.0863892,-80.3925145
1205 STADLER RIDGE RD,36.1203563,-80.2979417
1205 VICTORIA ST,36.1593858,-80.2274482
1206 BROADWATER DR,36.0759038,-80.073785
1206 MAGNOLIA ST,36.074911,-80.2850005
1206 PEACHTREE ST,36.0850639,-80.2127214
121 CASCADE AVE,36.0737816,-80.2422682
121 CHELTENHAM DR,36.0559007,-80.3414746
121 HUMBERSIDE DR,36.1309858,-80.0580789
121 MOZART AVE,36.0860289,-80.322638
1210 BIRCH HILL DR,36.0820695,-80.0983724
1210 E FOURTH ST,36.099289,-80.230638
1210 FOREST WOOD DR,36.092664,-80.410342
1211 CENTER STAGE CT # 1211,36.0719388,-80.235123
1211 CORNWALLIS ST,36.1509245,-80.2240383
1211 REYNOLDS FOREST DR,36.0836713,-80.1934128
1211 W SEDGEFIELD DR,36.0836524,-80.2119899
1211 W SEDGEFIELD DR,36.0836524,-80.2119899
1211 WILLIAMS RD,36.0878409,-80.4452774
1212 BEBB WILLOW LN,36.094701,-80.407145
1212 BOLTON ST,36.0754971,-80.289623
1212 E TWELFTH ST # E,36.1093866,-80.2306281
1212 S HAWTHORNE RD,36.0784169,-80.282328
1212 SALEM CROSSING RD,36.0775519,-80.0843751
1212 UNION CROSS RD,36.0998731,-80.083284
1213 MIZPAH CHURCH RD,36.2050727,-80.3080028
1214 BETHABARA HILLS CT,36.150148,-80.2936746
1214 RAY ST,36.0879379,-80.0888774
1215 ASHBURTON LN,36.1207573,-80.2862845
1215 E TWENTY FIFTH ST,36.1221687,-80.2295714
1216 VERDUN ST,36.0706183,-80.2128823
1216 ZIGLAR RD,36.1969463,-80.3039514
1217 ARGONNE BLVD,36.0838052,-80.2164129
1217 E ELEVENTH ST # B,36.1079596,-80.2288222
1217 E SEVENTEENTH ST # B,36.1153827,-80.2299103
